"","academicyear","instname","control","hbcu","hsi","medical","nettuition01","tuition_reliance_a1","appliedaid01","grant01","tuition_discount","fed_grant_pct","fed_grant_avg_amount","inst_grant_avg_amount","loan_num","loan_avg_amount","tuition01_tf","fee01_tf","education_share","instruction_share","studserv_share","eandr_degree","average_subsidy","nettuition_share","gross_operating_margin","fringe_benefit_play","instr_sal_as_pct_instrtot","acadsupp_sal_as_pct_acadsupptot","assets06","totaldegrees_100fte","bach_deg_share_of_tot_deg","ftretention_rate","fall_cohort_num","fall_cohort_pct","total_enrollment_amin_tot","total_enrollment_asian_tot","total_enrollment_black_tot","total_enrollment_hisp_tot","total_enrollment_white_tot","total_enrollment_multi_tot","applcn","enrollftcount","enrollptcount","NumStudSubACT","NumStudSubSAT","instacttype","ft_executive_per_100fte","full_time_employee_share","ft_faculty_salary","full_time_employee_100fte","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NV","NY","OH","OK","OR","PA","PR","RI","SC","SD","TN","TX","UT","VA","VI","VT","WA","WI","WV","WY"
"1",2012,"New Hope Christian College",1,0,0,0,610729,0.597980651,14539,232786,0.202944021,59,4504,2126,13,7808,7080,512,1,0.170687175,0.207198631,55952.15789,452362,0.574484216,53152,1.266600225,0.796843312,0.225542419,542090,20.43010753,0.526315789,0.87,22,21,0,64,8,7,24,16,58,28,11,0,0,2,3.225806452,0.1,29455,4.301075269,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2012,"Providence Christian College",1,0,0,0,1082289,0.285466086,994379,118905,0.445410305,56,4544,15980,10,5474,20964,750,1,0.327744509,0.174993418,223263,927078,0.538621864,1208676,1.231090556,0.793739058,0.839942855,1242198,12.85714286,1,0.89,16,23,0,1,0,6,37,2,60,23,0,0,0,2,8.571428571,0.428571429,50169.25,21.42857143,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2012,"The King<U+0092>s College",1,0,0,0,4768919,0.300916445,8472277,619758,0.641269349,38,4512,18591,111,7211,28890,350,1,0.308774816,0.2470182,229536.2069,8544181,0.358212512,2064830,1.164916116,0.649560299,0.647469991,22942747,12.66375546,1,0.68,162,35,3,20,15,28,349,24,3388,162,0,1,1,2,4.585152838,0.78021978,66252.78261,15.50218341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2012,"Ave Maria University",1,0,0,0,6488278,0.298528577,9232454,1130076,0.587278888,35,3767,11917,125,6283,19440,650,1,0.292346293,0.237768734,170354.5556,19575969,0.248934028,-4903846,1.225172752,0.583687258,0.257348089,354630169,18.30143541,0.790849673,0.72,217,29,2,10,25,94,462,0,1271,219,0,1,1,2,2.392344498,0.877192982,56957.71154,17.94258373,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2012,"California State University-Channel Islands",0,0,0,0,29158152,0.356299053,7160747,6934216,0.00792256,41,4640,5406,287,6064,5472,844,0.966171087,0.432934616,0.127794595,70877.77148,50437585.37,0.366328059,-1340442,1.407419074,0.553447892,0.495954011,568347492,30.17195056,0.893143366,0.82,602,15,29,277,91,1434,2029,71,5745,516,11,1,1,2,0.940354648,0.742983752,79073.90977,13.51423966,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2012,"Nevada State College",0,0,0,0,10060612,0.469735468,3359612,4464000,0.012369176,56,4236,1400,84,5099,3398,608,0.995574248,0.45103324,0.119573485,74767.46131,10276137.48,0.494701083,-928000,1.209482743,0.629911748,0.54635001,42904000,13.81411884,1,0.62,226,7,36,382,372,619,1523,147,1401,258,71,0,0,2,0.761808024,0.511415525,67537.33333,5.688166582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2012,"King's University",1,0,0,0,2900413,0.591952793,40495,412447,0.081634546,45,5328,4765,6,5500,7740,405,0.967885738,0.267041683,0.141906971,79225.65296,1694674.872,0.631198593,382167,1.203412262,0.754734818,0.526273726,5566063,21.09090909,0.224137931,0.29,11,5,1,35,64,50,257,39,23,11,5,0,0,2,3.272727273,0.376146789,47974,14.90909091,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2012,"Florida Gulf Coast University",0,0,0,0,59523720,0.454411642,23682282,15880587,0.179415049,33,4369,3033,1145,6945,3742,1790,0.904819801,0.567706184,0.104774262,46499.11306,53934115.86,0.524632958,-6911639,1.236310848,0.616996039,0.546198971,595192946,22.65552461,0.714754098,0.75,2532,22,32,230,767,1995,9070,240,9199,2543,38,1,1,2,1.47632312,0.77833935,63623.86041,10.00928505,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2009,"Messenger College",1,0,0,0,413685,0.983980305,204473,186576,0.021371171,83,2185,139,6,2843,6250,675,1,0.239406341,0.097092218,96056.875,354770,0.538333409,-69740,1.191595839,0.827077886,0.757682868,2187394,12.55605415,0.75,0.65,6,9,2,1,5,6,56,1,26,12,4,0,0,2,6.278027075,0.52173913,23318.66667,18.83408122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2012,"California State University-Monterey Bay",0,0,1,0,36506321,0.39674209,14543912,11241103,0.024074793,49,4804,7422,466,5212,5472,491,0.986563748,0.343012409,0.191288302,94020.19708,57231815.49,0.38945004,-11012023,1.402790921,0.55793556,0.450003724,356155614,20.57366901,0.86559679,0.79,866,18,21,247,234,1832,2078,232,10263,823,6,1,1,2,0.907965332,0.742063492,70350.40764,11.57655799,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
